"myTeam game, 28 Feb 2020",,,,,,,
"

",,,,,,,
Team Totals,,,,,,,
"

",,,,,,,
Distance (km),Distance in High Intensity Zones (km),Sprints,Progressive Sprints,,,,
32.1,5.8,22,0,,,,
"

",,,,,,,
Team Averages,,,,,,,
"

",,,,,,,
Distance (km),Distance in High Intensity Zones (km),Sprints,Progressive Sprints,Average Velocity (km/h),,,
6,1.1,4.1,0,5.3,,,
"

",,,,,,,
Player Metrics,,,,,,,
,,,,,,,
,First Name,Last Name,Time on Pitch (mins),Distance (km),Distance in High Intensity Zones (km),Sprints,Progressive Sprints
,Meir,Derei,37,2.2,0.5,6,0
,maor,lankri,90,6.3,1.4,19,0
,Aviad,Zarbiv,26,1.4,0,5,0
,Ofek,Balsan,53,4.8,0.5,13,0
,oran,shiri,64,5.1,1.8,17,0
,Eden,Azaria,34,2,0.6,5,0
,David,Afenger,56,3.1,0.6,1,0
,mor,zeevi,90,5.3,1,9,0
,Ben,Diga,81,5.8,1.3,19,0
,Tal,Haba,90,6.3,1.7,18,0
,Oz,Ifrah,90,6.6,1.4,15,0
,Erez,Founya,83,5.8,1.2,14,0
,Carlos,Chakana,90,6.7,1.5,16,0
מרחק ממוצע -,,5.38,,,,,
ממוצע כמות ספרינטים ממוצעת-,,,13,,,,
