"myTeam game, 06 Mar 2020",,,,,,,
"

",,,,,,,
Team Totals,,,,,,,
"

",,,,,,,
Distance (km),Distance in High Intensity Zones (km),Sprints,Progressive Sprints,,,,
50.6,10.6,93,11,,,,
"

",,,,,,,
Team Averages,,,,,,,
"

",,,,,,,
Distance (km),Distance in High Intensity Zones (km),Sprints,Progressive Sprints,Average Velocity (km/h),,,
6.7,1.4,12.4,1.1,6.4,,,
"

",,,,,,,
Player Metrics,,,,,,,
"

",,,,,,,
Tracker #,First Name,Last Name,Time on Pitch (mins),Distance (km),Distance in High Intensity Zones (km),Sprints,Progressive Sprints
7,erez,founya,30,2.5,0.8,5,0
16,Carlos,Chakana,90,6.9,1.3,18,1
5,Guy,Grudka,34,1.8,0,4,0
20,Oz,Ifrah,90,7.3,0.2,2,0
11,maor,lankri,90,7,1.9,23,7
18,Tal,Haba,90,7.4,2.4,12,2
8,Yonatan,Nehemia,30,2,0.5,8,0
6,Ben,Diga,34,2.8,0.8,14,0
17,Nano,Vaknin,90,6.9,1.9,19,0
12,Bar,Mizrahi,56,4.9,1.1,12,0
9,Ofek,Balsan,60,4.7,1.3,14,1
14,David,Afanger,56,2.8,0.3,3,0
15,Eden,Azaria,60,5,1.1,10,0
13,Mor,Zeevi ,90,5.6,0.9,6,0
מרחק ריצה ממוצע: ,,4.828571429,,,,,
כמות ספרינטים ממוצעת,,13.6,,,,,
